|                               Benchmark |     pgi_s |     pgi_v |   clang_s |   clang_v |     gcc_s |     gcc_v |     icc_s |     icc_v |
|              conv_i232_w_kw_kc_h_c_kh_c |     72229 |    169118 |     72686 |     59867 |     63200 |     63229 |     96232 |     59736 |
|              conv_i232_w_kw_kc_h_kh_c_c |    171967 |    126138 |    114291 |     74904 |    138858 |     72435 |     74044 |     74011 |
|              conv_i232_w_kw_kc_c_h_kh_c |     93082 |    126130 |    143373 |    116022 |     66437 |     66446 |     96237 |     59654 |
|              conv_i232_w_kw_kc_c_kh_h_c |    715942 |    715310 |    727196 |    619516 |    724835 |    727540 |     74024 |     74022 |
|              conv_i232_w_kw_kc_kh_h_c_c |    169118 |    715589 |    117756 |     57145 |    139471 |     73008 |     74099 |     74007 |
|              conv_i232_w_kw_kc_kh_c_h_c |    728177 |    169121 |    717586 |    592287 |    718143 |    717053 |     74745 |     74830 |
|              conv_i232_w_kc_h_c_kh_kw_c |    242354 |    242338 |    170220 |    170223 |    124104 |    124108 |     96186 |     59199 |
|              conv_i232_w_kc_h_c_kw_kh_c |    240611 |    240608 |    170269 |    170269 |    132891 |    132939 |     96226 |     59186 |
|              conv_i232_w_kc_h_kh_c_kw_c |     68850 |     69255 |     69559 |     62451 |     61287 |     60823 |     96238 |     59550 |
|              conv_i232_w_kc_h_kh_kw_c_c |    169950 |    240328 |    112846 |     67767 |    139194 |     71991 |    116485 |     66924 |
|              conv_i232_w_kc_h_kw_c_kh_c |     71493 |     72204 |     72045 |     58497 |     63647 |     63718 |     96211 |     59544 |
|              conv_i232_w_kc_h_kw_kh_c_c |    170183 |    240861 |    112852 |     67895 |    143818 |     72141 |    116881 |     50163 |
|              conv_i232_w_kc_c_h_kh_kw_c |    248663 |    248648 |    170613 |    170614 |    129215 |    129230 |     96212 |     59647 |
|              conv_i232_w_kc_c_h_kw_kh_c |    248691 |    248812 |    171128 |    171127 |    128393 |    129905 |     96215 |     59706 |
|              conv_i232_w_kc_c_kh_h_kw_c |     95673 |     95675 |     95380 |     93803 |    121670 |    121710 |     96189 |     59548 |
|              conv_i232_w_kc_c_kh_kw_h_c |    714190 |    714625 |    721781 |    676181 |    723817 |    716549 |    721611 |    729930 |
|              conv_i232_w_kc_c_kw_h_kh_c |     93194 |    126527 |    139371 |    106941 |     66077 |     66073 |     96199 |     59587 |
|              conv_i232_w_kc_c_kw_kh_h_c |    714023 |    717274 |    723021 |    650835 |    711196 |    722449 |    727455 |    728927 |
|              conv_i232_w_kc_kh_h_c_kw_c |     69476 |    168168 |     70024 |     61987 |     61391 |     61389 |     96195 |     59555 |
|              conv_i232_w_kc_kh_h_kw_c_c |    170358 |     95199 |    113595 |     66761 |    167702 |     71935 |     62935 |     62931 |
|              conv_i232_w_kc_kh_c_h_kw_c |     95126 |     95142 |     94966 |    103360 |    121409 |    121402 |     96226 |     59693 |
|              conv_i232_w_kc_kh_c_kw_h_c |    715639 |    717313 |    723622 |    665143 |    710527 |    719966 |     62932 |     62935 |
|              conv_i232_w_kc_kh_kw_h_c_c |    168166 |    720308 |    115812 |     57170 |    138266 |     72223 |     62939 |     62947 |
|              conv_i232_w_kc_kh_kw_c_h_c |    735549 |    168164 |    748205 |    608872 |    735098 |    724521 |     63035 |     63053 |
|              conv_i232_w_kc_kw_h_c_kh_c |     72196 |    168157 |     72555 |     59816 |     62557 |     62569 |     96214 |     59695 |
|              conv_i232_w_kc_kw_h_kh_c_c |    169036 |    126121 |    114275 |     69289 |    167719 |     72048 |     62117 |     62131 |
|              conv_i232_w_kc_kw_c_h_kh_c |     92507 |    126113 |    141475 |    116477 |     67711 |     67752 |     96238 |     59662 |
|              conv_i232_w_kc_kw_c_kh_h_c |    715915 |    714052 |    728794 |    627527 |    711016 |    717480 |     62100 |     62116 |
|              conv_i232_w_kc_kw_kh_h_c_c |    168158 |    716852 |    120161 |     57145 |    167187 |     72276 |     61813 |     61828 |
|              conv_i232_w_kc_kw_kh_c_h_c |    744077 |    168158 |    733705 |    638289 |    717958 |    727369 |     61364 |     61347 |
|              conv_i232_c_h_w_kh_kw_kc_c |    293362 |    293023 |     58025 |     58029 |    115723 |    115762 |     96194 |     59554 |
|              conv_i232_c_h_w_kh_kc_kw_c |    287619 |    287619 |    170733 |     76658 |    128084 |     39896 |     96209 |     59546 |
|              conv_i232_c_h_w_kw_kh_kc_c |    293076 |    293043 |     57202 |     57206 |    117799 |    117805 |     96192 |     59567 |
|              conv_i232_c_h_w_kw_kc_kh_c |    287172 |    287170 |    170699 |     76209 |    126997 |     37353 |     96203 |     59546 |
|              conv_i232_c_h_w_kc_kh_kw_c |    287701 |    287703 |    170773 |    170774 |    125491 |    125483 |     96213 |     59555 |
|              conv_i232_c_h_w_kc_kw_kh_c |    287283 |    287276 |    170673 |    170666 |    114756 |    114755 |     96191 |     59550 |
|              conv_i232_c_h_kh_w_kw_kc_c |    187691 |    187712 |     61732 |     61731 |     96822 |     96813 |     96199 |     59603 |
|              conv_i232_c_h_kh_w_kc_kw_c |    166888 |    166975 |    171256 |     27759 |     96821 |     34956 |     96213 |     59594 |
|              conv_i232_c_h_kh_kw_w_kc_c |     59094 |     59096 |     58143 |     82241 |     72660 |     72695 |     96203 |     59559 |
|              conv_i232_c_h_kh_kw_kc_w_c |    116740 |    143535 |    105911 |    158666 |    179997 |    179992 |    117665 |    117639 |
|              conv_i232_c_h_kh_kc_w_kw_c |     67944 |     91839 |    116608 |     71494 |     54517 |     42997 |     96200 |     59549 |
|              conv_i232_c_h_kh_kc_kw_w_c |    147238 |    147244 |    130802 |    155083 |    176130 |    176134 |    119830 |    119814 |
|              conv_i232_c_h_kw_w_kh_kc_c |    186357 |    185936 |     57130 |     57131 |    106526 |    106535 |     96195 |     59566 |
|              conv_i232_c_h_kw_w_kc_kh_c |    167158 |    166917 |    170566 |     23271 |    115577 |     36606 |     96192 |     59567 |
|              conv_i232_c_h_kw_kh_w_kc_c |     59096 |     59075 |     58137 |     81823 |     72999 |     73036 |     96196 |     59544 |
|              conv_i232_c_h_kw_kh_kc_w_c |    139829 |    143672 |    105907 |    157312 |    180198 |    180205 |    117751 |    117774 |
|              conv_i232_c_h_kw_kc_w_kh_c |     67039 |     67040 |     69215 |     73509 |    108489 |    108495 |     96195 |     59566 |
|              conv_i232_c_h_kw_kc_kh_w_c |    147212 |    147206 |    113236 |    162916 |    176425 |    176434 |    120161 |    120164 |
|              conv_i232_c_h_kc_w_kh_kw_c |    242571 |    245072 |    171323 |    171325 |    134001 |    133961 |     96205 |     59553 |
|              conv_i232_c_h_kc_w_kw_kh_c |    240652 |    240640 |    170335 |    170341 |    116907 |    116898 |     96202 |     59560 |
|              conv_i232_c_h_kc_kh_w_kw_c |     68250 |     89797 |    112404 |     72236 |     55219 |     43254 |     96184 |     59579 |
|              conv_i232_c_h_kc_kh_kw_w_c |    147707 |    147705 |    129949 |    155610 |    203443 |    204036 |    119258 |    119286 |
|              conv_i232_c_h_kc_kw_w_kh_c |     67007 |     67013 |     68561 |     71871 |    102445 |    102435 |     96189 |     59552 |
|              conv_i232_c_h_kc_kw_kh_w_c |    147937 |    147931 |    112661 |    164119 |    176067 |    176072 |    120475 |    120510 |
|              conv_i232_c_w_h_kh_kw_kc_c |    294713 |    294911 |     58267 |     58274 |    117147 |    117150 |     96198 |     59547 |
|              conv_i232_c_w_h_kh_kc_kw_c |    288620 |    288632 |    170774 |     77103 |    130148 |     39621 |     96213 |     59543 |
|              conv_i232_c_w_h_kw_kh_kc_c |    295081 |    295053 |     58491 |     58436 |    116916 |    116903 |     96205 |     59577 |
|              conv_i232_c_w_h_kw_kc_kh_c |    288767 |    288801 |    171145 |     77740 |    129466 |     39385 |     96196 |     59579 |
|              conv_i232_c_w_h_kc_kh_kw_c |    289298 |    289301 |    170892 |    170899 |    124721 |    124792 |     96208 |     59545 |
|              conv_i232_c_w_h_kc_kw_kh_c |    289341 |    289352 |    171192 |    171182 |    122730 |    122667 |     96192 |     59567 |
|              conv_i232_c_w_kh_h_kw_kc_c |    199135 |    198267 |     61660 |     61656 |    115629 |    115637 |     96202 |     59554 |
|              conv_i232_c_w_kh_h_kc_kw_c |    180193 |    180273 |    171731 |     30226 |    122759 |     42840 |     96220 |     59552 |
|              conv_i232_c_w_kh_kw_h_kc_c |    128297 |    130902 |    126551 |    184543 |    127209 |    128133 |     96215 |     59542 |
|              conv_i232_c_w_kh_kw_kc_h_c |    714846 |    714497 |    717879 |    621092 |    713219 |    716869 |    733577 |    725899 |
|              conv_i232_c_w_kh_kc_h_kw_c |     95218 |     95236 |     96220 |     93985 |    120661 |    120621 |     96193 |     59549 |
|              conv_i232_c_w_kh_kc_kw_h_c |    714901 |    714381 |    717880 |    638426 |    729821 |    715162 |    731132 |    723674 |
|              conv_i232_c_w_kw_h_kh_kc_c |    203743 |    203765 |     69833 |     69833 |     98144 |     98142 |     96196 |     59560 |
|              conv_i232_c_w_kw_h_kc_kh_c |    180247 |    180245 |    174313 |     38378 |     98932 |     36988 |     96196 |     59595 |
|              conv_i232_c_w_kw_kh_h_kc_c |    134270 |    133756 |    127660 |    178202 |    128535 |    129514 |     96201 |     59544 |
|              conv_i232_c_w_kw_kh_kc_h_c |    715976 |    719488 |    718285 |    689372 |    713302 |    716701 |    730593 |    728771 |
|              conv_i232_c_w_kw_kc_h_kh_c |     93496 |    131670 |    146196 |    106676 |     65703 |     65681 |     96195 |     59567 |
|              conv_i232_c_w_kw_kc_kh_h_c |    712216 |    721709 |    729377 |    641781 |    719138 |    718347 |    729021 |    723437 |
|              conv_i232_c_w_kc_h_kh_kw_c |    248717 |    248712 |    170751 |    170755 |    129646 |    129641 |     96211 |     59564 |
|              conv_i232_c_w_kc_h_kw_kh_c |    248721 |    248807 |    171293 |    171288 |    128314 |    128348 |     96197 |     59542 |
|              conv_i232_c_w_kc_kh_h_kw_c |     95647 |     95664 |     95790 |     94476 |    120727 |    120695 |     96189 |     59568 |
|              conv_i232_c_w_kc_kh_kw_h_c |    713290 |    716496 |    719334 |    699517 |    719531 |    727489 |    729939 |    719465 |
|              conv_i232_c_w_kc_kw_h_kh_c |     93364 |    126559 |    139427 |    108190 |     66399 |     66458 |     96198 |     59551 |
|              conv_i232_c_w_kc_kw_kh_h_c |    709578 |    723167 |    718672 |    638713 |    720353 |    723238 |    729065 |    717593 |
|              conv_i232_c_kh_h_w_kw_kc_c |    189661 |    189677 |     61710 |     61713 |     96257 |     96255 |     96196 |     59549 |
|              conv_i232_c_kh_h_w_kc_kw_c |    173299 |    173282 |    171549 |     29937 |     96453 |     33188 |     96222 |     59551 |
|              conv_i232_c_kh_h_kw_w_kc_c |     60767 |     60810 |     59860 |     85108 |     76614 |     76603 |     96202 |     59541 |
|              conv_i232_c_kh_h_kw_kc_w_c |    120201 |    146564 |    110096 |    161606 |    182369 |    182361 |    121363 |    121435 |
|              conv_i232_c_kh_h_kc_w_kw_c |     69468 |     94154 |    119361 |     74670 |     54957 |     43517 |     96215 |     59668 |
|              conv_i232_c_kh_h_kc_kw_w_c |    157873 |    157863 |    134881 |    159246 |    178388 |    178472 |    122910 |    122892 |
|              conv_i232_c_kh_w_h_kw_kc_c |    199374 |    199429 |     61498 |     61504 |    115119 |    115150 |     96208 |     59569 |
|              conv_i232_c_kh_w_h_kc_kw_c |    179409 |    179457 |    171690 |     30016 |    121879 |     46522 |     96197 |     59574 |
|              conv_i232_c_kh_w_kw_h_kc_c |    124972 |    125074 |    124061 |    176483 |    125733 |    125656 |     96205 |     59546 |
|              conv_i232_c_kh_w_kw_kc_h_c |    715258 |    714211 |    711559 |    643847 |    709710 |    710626 |    737493 |    729955 |
|              conv_i232_c_kh_w_kc_h_kw_c |     94580 |     94563 |     95502 |     92832 |    119960 |    119969 |     96217 |     59668 |
|              conv_i232_c_kh_w_kc_kw_h_c |    713819 |    716074 |    714503 |    646025 |    715395 |    713527 |    724853 |    720758 |
|              conv_i232_c_kh_kw_h_w_kc_c |     94645 |     94644 |     94669 |    122348 |     94722 |     94722 |     96202 |     59551 |
|              conv_i232_c_kh_kw_h_kc_w_c |    168051 |    185123 |    158413 |    207124 |    210582 |    210555 |    163901 |    163916 |
|              conv_i232_c_kh_kw_w_h_kc_c |    122052 |    122077 |    123229 |    149882 |    125789 |    125775 |     96210 |     59550 |
|              conv_i232_c_kh_kw_w_kc_h_c |    688320 |    665826 |    688602 |    641326 |    665126 |    680320 |    666323 |    673937 |
|              conv_i232_c_kh_kw_kc_h_w_c |    379875 |    379873 |    379923 |    380577 |    379897 |    379899 |    380178 |    380178 |
|              conv_i232_c_kh_kw_kc_w_h_c |    577597 |    576705 |    569817 |    582283 |    569218 |    566083 |    598261 |    571594 |
|              conv_i232_c_kh_kc_h_w_kw_c |     76523 |    101130 |    129398 |     83819 |     56845 |     44669 |     96206 |     59564 |
|              conv_i232_c_kh_kc_h_kw_w_c |    133909 |    133881 |    146824 |    173381 |    185638 |    185702 |    133859 |    133927 |
|              conv_i232_c_kh_kc_w_h_kw_c |     94196 |     94066 |     94104 |     97549 |    120712 |    120618 |     96188 |     59548 |
|              conv_i232_c_kh_kc_w_kw_h_c |    698116 |    701075 |    718813 |    688653 |    695794 |    708728 |    703436 |    708964 |
|              conv_i232_c_kh_kc_kw_h_w_c |    379874 |    695927 |    379925 |    380657 |    379902 |    379895 |    380182 |    380198 |
|              conv_i232_c_kh_kc_kw_w_h_c |    580189 |    151489 |    568320 |    592283 |    558422 |    578264 |    552708 |    582541 |
|              conv_i232_c_kw_h_w_kh_kc_c |    188638 |    188274 |     57229 |     57226 |    101221 |    101209 |     96198 |     59561 |
|              conv_i232_c_kw_h_w_kc_kh_c |    173256 |    173275 |    170765 |     25342 |    114759 |     41065 |     96199 |     59559 |
|              conv_i232_c_kw_h_kh_w_kc_c |     60647 |     60669 |     59818 |     84134 |     73279 |     73260 |     96194 |     59569 |
|              conv_i232_c_kw_h_kh_kc_w_c |    120068 |    146784 |    110016 |    161931 |    202754 |    202751 |    121494 |    121523 |
|              conv_i232_c_kw_h_kc_w_kh_c |     69221 |     69244 |     70227 |     74797 |    102816 |    102790 |     96206 |     59562 |
|              conv_i232_c_kw_h_kc_kh_w_c |    150438 |    150442 |    117003 |    167342 |    178737 |    178738 |    123864 |    123889 |
|              conv_i232_c_kw_w_h_kh_kc_c |    204048 |    204022 |     69543 |     69547 |     97171 |     97180 |     96203 |     59565 |
|              conv_i232_c_kw_w_h_kc_kh_c |    179399 |    179431 |    174281 |     37989 |     98580 |     34645 |     96189 |     59558 |
|              conv_i232_c_kw_w_kh_h_kc_c |    126406 |    125632 |    126492 |    176431 |    127884 |    127857 |     96201 |     59555 |
|              conv_i232_c_kw_w_kh_kc_h_c |    708457 |    712114 |    714320 |    679933 |    715577 |    711705 |    724169 |    724235 |
|              conv_i232_c_kw_w_kc_h_kh_c |     93339 |    127091 |    144948 |    104919 |     65767 |     65779 |     96200 |     59549 |
|              conv_i232_c_kw_w_kc_kh_h_c |    719459 |    708391 |    725245 |    642389 |    712280 |    717893 |    715318 |    717939 |
|              conv_i232_c_kw_kh_h_w_kc_c |     94680 |     94663 |     94678 |    122678 |     94746 |     94742 |     96211 |     59560 |
|              conv_i232_c_kw_kh_h_kc_w_c |    168110 |    185206 |    158450 |    207776 |    210328 |    210329 |    163889 |    163885 |
|              conv_i232_c_kw_kh_w_h_kc_c |    122070 |    122103 |    123158 |    149662 |    125649 |    125676 |     96191 |     59551 |
|              conv_i232_c_kw_kh_w_kc_h_c |    688653 |    674630 |    690570 |    659806 |    666508 |    683521 |    661488 |    666124 |
|              conv_i232_c_kw_kh_kc_h_w_c |    379953 |    379882 |    379927 |    380841 |    379901 |    379892 |    380183 |    380175 |
|              conv_i232_c_kw_kh_kc_w_h_c |    571648 |    573377 |    567523 |    601687 |    534141 |    572895 |    557292 |    564316 |
|              conv_i232_c_kw_kc_h_w_kh_c |     74876 |     76534 |     76573 |     82152 |    126377 |    126383 |     96234 |     59695 |
|              conv_i232_c_kw_kc_h_kh_w_c |    156743 |    162818 |    125628 |    173193 |    185979 |    185989 |    134683 |    134616 |
|              conv_i232_c_kw_kc_w_h_kh_c |     91166 |    128261 |    144576 |    107483 |     65396 |     65465 |     96208 |     59690 |
|              conv_i232_c_kw_kc_w_kh_h_c |    697755 |    700712 |    710341 |    667688 |    697961 |    714606 |    706941 |    704615 |
|              conv_i232_c_kw_kc_kh_h_w_c |    379895 |    699479 |    379926 |    380530 |    379895 |    379892 |    380182 |    380188 |
|              conv_i232_c_kw_kc_kh_w_h_c |    578897 |    152375 |    583192 |    599177 |    562849 |    500534 |    555972 |    561902 |
|              conv_i232_c_kc_h_w_kh_kw_c |    243084 |    245237 |    171279 |    171277 |    134315 |    134354 |     96183 |     59567 |
|              conv_i232_c_kc_h_w_kw_kh_c |    241452 |    241479 |    170330 |    170333 |    124930 |    124945 |     96203 |     59544 |
|              conv_i232_c_kc_h_kh_w_kw_c |     68656 |     90336 |    120591 |     73270 |     55354 |     43422 |     96195 |     59542 |
|              conv_i232_c_kc_h_kh_kw_w_c |    156684 |    156751 |    131124 |    156688 |    176548 |    176558 |    119978 |    119980 |
|              conv_i232_c_kc_h_kw_w_kh_c |     67487 |     67497 |     68083 |     72858 |    120341 |    120343 |     96197 |     59548 |
|              conv_i232_c_kc_h_kw_kh_w_c |    156243 |    156276 |    113475 |    165069 |    176642 |    176647 |    120894 |    120888 |
|              conv_i232_c_kc_w_h_kh_kw_c |    248720 |    248700 |    170695 |    170700 |    133366 |    133373 |     96195 |     59590 |
|              conv_i232_c_kc_w_h_kw_kh_c |    248714 |    248826 |    171242 |    171242 |    128371 |    128384 |     96210 |     59579 |
|              conv_i232_c_kc_w_kh_h_kw_c |     94962 |     94969 |     95274 |     95929 |    142446 |    142451 |     96187 |     59566 |
|              conv_i232_c_kc_w_kh_kw_h_c |    716015 |    712133 |    718923 |    694374 |    721198 |    714592 |    741654 |    727107 |
|              conv_i232_c_kc_w_kw_h_kh_c |     92926 |    126578 |    141293 |    105913 |     66109 |     66109 |     96195 |     59589 |
|              conv_i232_c_kc_w_kw_kh_h_c |    710175 |    713916 |    726642 |    645997 |    719459 |    722271 |    719602 |    718574 |
|              conv_i232_c_kc_kh_h_w_kw_c |     75671 |     99056 |    131803 |     83402 |     57077 |     44674 |     96185 |     59547 |
|              conv_i232_c_kc_kh_h_kw_w_c |    133855 |    133798 |    146697 |    173645 |    185918 |    185714 |     62936 |     62919 |
|              conv_i232_c_kc_kh_w_h_kw_c |     93554 |     94042 |     94565 |     93630 |    120760 |    121373 |     96189 |     59558 |
|              conv_i232_c_kc_kh_w_kw_h_c |    698311 |    700530 |    715196 |    660902 |    702844 |    701319 |     62944 |     62928 |
|              conv_i232_c_kc_kh_kw_h_w_c |    379869 |    694191 |    379921 |    380642 |    379938 |    379890 |     62936 |     62922 |
|              conv_i232_c_kc_kh_kw_w_h_c |    566030 |    151842 |    572316 |    588843 |    574777 |    536031 |     62926 |     62935 |
|              conv_i232_c_kc_kw_h_w_kh_c |     74866 |     76519 |     76507 |     82250 |    126413 |    126378 |     96216 |     59656 |
|              conv_i232_c_kc_kw_h_kh_w_c |    133648 |    133594 |    125608 |    172732 |    185993 |    185970 |     62120 |     62125 |
|              conv_i232_c_kc_kw_w_h_kh_c |     91685 |    125426 |    144657 |    107166 |     65394 |     65419 |     96219 |     59673 |
|              conv_i232_c_kc_kw_w_kh_h_c |    704435 |    698656 |    715195 |    639366 |    714487 |    696949 |     62107 |     62112 |
|              conv_i232_c_kc_kw_kh_h_w_c |    379907 |    696684 |    379924 |    380564 |    379897 |    379905 |     61844 |     61841 |
|              conv_i232_c_kc_kw_kh_w_h_c |    568209 |    152433 |    568985 |    597995 |    573867 |    547232 |     61849 |     61820 |
|              conv_i232_kh_h_w_c_kw_kc_c |    185759 |    186395 |     57241 |     57234 |     97170 |     97112 |     96192 |     59567 |
|              conv_i232_kh_h_w_c_kc_kw_c |    168437 |    168723 |    170410 |     20682 |     97198 |     35040 |     96203 |     59539 |
|              conv_i232_kh_h_w_kw_c_kc_c |     88961 |     89076 |     58175 |     62023 |     67344 |     67228 |     96209 |     59568 |
|              conv_i232_kh_h_w_kw_kc_c_c |    166972 |    166976 |    107576 |     67046 |    139451 |     72343 |    119801 |     30478 |
|              conv_i232_kh_h_w_kc_c_kw_c |     68696 |     69272 |     68951 |     62091 |     61618 |     61107 |     96204 |     59670 |
|              conv_i232_kh_h_w_kc_kw_c_c |    170807 |     69340 |    114057 |     68273 |    172469 |     72273 |    117096 |     68604 |
|              conv_i232_kh_h_c_w_kw_kc_c |    187861 |    187904 |     60410 |     60399 |     96917 |     96920 |     96198 |     59584 |
|              conv_i232_kh_h_c_w_kc_kw_c |    166823 |    167096 |    171283 |     29118 |     96930 |     34914 |     96225 |     59566 |
|              conv_i232_kh_h_c_kw_w_kc_c |     59263 |     59193 |     58328 |     82224 |     72803 |     72866 |     96218 |     59558 |
|              conv_i232_kh_h_c_kw_kc_w_c |    116957 |    143482 |    105833 |    157328 |    180197 |    180221 |    117715 |    117717 |
|              conv_i232_kh_h_c_kc_w_kw_c |     68237 |     92069 |    114214 |     72180 |     54469 |     43071 |     96204 |     59676 |
|              conv_i232_kh_h_c_kc_kw_w_c |    156510 |    156546 |    130669 |    155301 |    204641 |    204887 |    119512 |    119500 |
|              conv_i232_kh_h_kw_w_c_kc_c |     88699 |     88710 |     58046 |     59012 |     66951 |     66956 |     96196 |     59551 |
|              conv_i232_kh_h_kw_w_kc_c_c |    166719 |    166726 |    107689 |     64464 |    170553 |     72545 |    119584 |      8535 |
|              conv_i232_kh_h_kw_c_w_kc_c |     58749 |     58768 |     58024 |     87158 |     72333 |     72359 |     96213 |     59548 |
|              conv_i232_kh_h_kw_c_kc_w_c |    139078 |    143274 |    105481 |    155920 |    181383 |    181449 |    117255 |    117247 |
|              conv_i232_kh_h_kw_kc_w_c_c |    168019 |    168077 |    102833 |     54124 |    140194 |     72192 |    115941 |     11083 |
|              conv_i232_kh_h_kw_kc_c_w_c |    136214 |    168005 |    100548 |    150589 |    173270 |    173338 |    116358 |    116545 |
|              conv_i232_kh_h_kc_w_c_kw_c |     68560 |    167391 |     68354 |     60735 |     60198 |     60180 |     96232 |     59567 |
|              conv_i232_kh_h_kc_w_kw_c_c |    169358 |     90833 |    114229 |     73203 |    167709 |     72053 |    116778 |     11019 |
|              conv_i232_kh_h_kc_c_w_kw_c |     68517 |     90817 |    114694 |     76871 |     55281 |     42926 |     96188 |     59222 |
|              conv_i232_kh_h_kc_c_kw_w_c |    155057 |    154766 |    129920 |    162728 |    175688 |    175666 |    119109 |    119123 |
|              conv_i232_kh_h_kc_kw_w_c_c |    167397 |    154349 |    104947 |     53987 |    140213 |     72189 |    115881 |     11059 |
|              conv_i232_kh_h_kc_kw_c_w_c |    154737 |    167401 |    138006 |    149252 |    173297 |    173244 |    116609 |    116590 |
|              conv_i232_kh_w_h_c_kw_kc_c |    186028 |    186004 |     57482 |     57681 |     97613 |     97477 |     96198 |     59548 |
|              conv_i232_kh_w_h_c_kc_kw_c |    166993 |    168321 |    170476 |     21182 |     97622 |     36001 |     96219 |     59551 |
|              conv_i232_kh_w_h_kw_c_kc_c |     89124 |     89153 |     58351 |     62135 |     67394 |     67472 |     96193 |     59576 |
|              conv_i232_kh_w_h_kw_kc_c_c |    167054 |    167056 |    107800 |     67084 |    139552 |     72344 |    119839 |     30484 |
|              conv_i232_kh_w_h_kc_c_kw_c |     68967 |     69759 |     69270 |     61885 |     61104 |     61090 |     96217 |     59686 |
|              conv_i232_kh_w_h_kc_kw_c_c |    169982 |     69941 |    114180 |     68058 |    172377 |     72329 |    117189 |     67976 |
|              conv_i232_kh_w_c_h_kw_kc_c |    200511 |    200033 |     62261 |     61947 |    115422 |    115367 |     96196 |     59551 |
|              conv_i232_kh_w_c_h_kc_kw_c |    181668 |    181556 |    171417 |     30572 |    122715 |     42849 |     96219 |     59557 |
|              conv_i232_kh_w_c_kw_h_kc_c |    132579 |    127605 |    128585 |    187136 |    127871 |    127072 |     96197 |     59574 |
|              conv_i232_kh_w_c_kw_kc_h_c |    719816 |    715268 |    717729 |    638970 |    722372 |    732140 |    748978 |    725463 |
|              conv_i232_kh_w_c_kc_h_kw_c |     95585 |     95520 |     95980 |     93865 |    120752 |    120712 |     96214 |     59656 |
|              conv_i232_kh_w_c_kc_kw_h_c |    726290 |    715778 |    718279 |    647488 |    723603 |    715252 |    729340 |    735214 |
|              conv_i232_kh_w_kw_h_c_kc_c |     89076 |     89056 |     60129 |     63019 |     68836 |     68868 |     96208 |     59576 |
|              conv_i232_kh_w_kw_h_kc_c_c |    166519 |    166519 |    112012 |     62578 |    170279 |     72597 |    118964 |     10981 |
|              conv_i232_kh_w_kw_c_h_kc_c |    128616 |    133171 |    128044 |    174048 |    125891 |    126100 |     96203 |     59545 |
|              conv_i232_kh_w_kw_c_kc_h_c |    723451 |    720654 |    726677 |    663189 |    720756 |    723007 |    734367 |    741474 |
|              conv_i232_kh_w_kw_kc_h_c_c |    168584 |    168573 |    116146 |     57677 |    167232 |     72974 |    117407 |     18769 |
|              conv_i232_kh_w_kw_kc_c_h_c |    736664 |    168611 |    733581 |    602109 |    711852 |    743305 |    734092 |    739578 |
|              conv_i232_kh_w_kc_h_c_kw_c |     69514 |    176230 |     70011 |     61153 |     61724 |     61051 |     96191 |     59587 |
|              conv_i232_kh_w_kc_h_kw_c_c |    169129 |     95618 |    114139 |     71794 |    167778 |     72241 |    116944 |     15728 |
|              conv_i232_kh_w_kc_c_h_kw_c |     95503 |     95570 |     95399 |     99341 |    121786 |    121862 |     96206 |     59196 |
|              conv_i232_kh_w_kc_c_kw_h_c |    720362 |    715412 |    724635 |    677328 |    729538 |    716000 |    731712 |    725492 |
|              conv_i232_kh_w_kc_kw_h_c_c |    176228 |    716899 |    116047 |     57436 |    146020 |     72420 |    117380 |     18754 |
|              conv_i232_kh_w_kc_kw_c_h_c |    753175 |    176225 |    736108 |    623393 |    713272 |    711768 |    732684 |    722694 |
|              conv_i232_kh_c_h_w_kw_kc_c |    189901 |    189907 |     61762 |     61755 |     96373 |     96384 |     96190 |     59574 |
|              conv_i232_kh_c_h_w_kc_kw_c |    174043 |    174275 |    171548 |     30327 |     96380 |     35439 |     96199 |     59562 |
|              conv_i232_kh_c_h_kw_w_kc_c |     61039 |     61007 |     60115 |     85920 |     73203 |     73191 |     96195 |     59547 |
|              conv_i232_kh_c_h_kw_kc_w_c |    120402 |    146721 |    110115 |    161366 |    182537 |    182543 |    121193 |    121264 |
|              conv_i232_kh_c_h_kc_w_kw_c |     69762 |     94539 |    119710 |     75553 |     55170 |     43703 |     96214 |     59656 |
|              conv_i232_kh_c_h_kc_kw_w_c |    158317 |    158317 |    134698 |    159440 |    206591 |    178730 |    123289 |    123264 |
|              conv_i232_kh_c_w_h_kw_kc_c |    199649 |    199980 |     61985 |     62085 |    115242 |    115205 |     96213 |     59572 |
|              conv_i232_kh_c_w_h_kc_kw_c |    180304 |    180363 |    171351 |     30489 |    122093 |     46652 |     96181 |     59542 |
|              conv_i232_kh_c_w_kw_h_kc_c |    123742 |    124454 |    124106 |    181180 |    125768 |    125895 |     96197 |     59544 |
|              conv_i232_kh_c_w_kw_kc_h_c |    713168 |    715257 |    715272 |    609851 |    719884 |    718936 |    728483 |    732553 |
|              conv_i232_kh_c_w_kc_h_kw_c |     94928 |     94900 |     95829 |     92652 |    120436 |    120365 |     96226 |     59678 |
|              conv_i232_kh_c_w_kc_kw_h_c |    709373 |    708998 |    712930 |    664327 |    712417 |    720659 |    720693 |    716403 |
|              conv_i232_kh_c_kw_h_w_kc_c |     94823 |     94805 |     94848 |    122615 |     94873 |     94877 |     96198 |     59559 |
